scientificName,Birdtree_tiplabel
Chlorospingus flavopectus,Chlorospingus_ophthalmicus
Chlorospingus parvirostris,Chlorospingus_parvirostris
Chlorospingus semifuscus,Chlorospingus_semifuscus
Chlorospingus tacarcunae,Chlorospingus_tacarcunae
Chlorostilbon alice,Chlorostilbon_alice
Chlorostilbon gibsoni,Chlorostilbon_gibsoni
Chlorostilbon lucidus,Chlorostilbon_lucidus
Chlorostilbon melanorhynchus,Chlorostilbon_melanorhynchus
Chlorostilbon mellisugus,Chlorostilbon_mellisugus
Chlorostilbon olivaresi,Chlorostilbon_olivaresi
Chlorostilbon poortmani,Chlorostilbon_poortmani
Chlorostilbon russatus,Chlorostilbon_russatus
Chlorostilbon stenurus,Chlorostilbon_stenurus
Chlorothraupis carmioli,Chlorothraupis_carmioli
Chlorothraupis olivacea,Chlorothraupis_olivacea
Chlorothraupis stolzmanni,Chlorothraupis_stolzmanni
Chondrohierax uncinatus,Chondrohierax_uncinatus
Chordeiles acutipennis,Chordeiles_acutipennis
Chordeiles gundlachii,Chordeiles_gundlachii
Chordeiles minor,Chordeiles_minor
Chordeiles nacunda,Podager_nacunda
Chordeiles pusillus,Chordeiles_pusillus
Chordeiles rupestris,Chordeiles_rupestris
Chroicocephalus cirrocephalus,Larus_cirrocephalus
Chroicocephalus maculipennis,Larus_maculipennis
Chroicocephalus philadelphia,Larus_philadelphia
Chroicocephalus ridibundus,Larus_ridibundus
Chroicocephalus serranus,Larus_serranus
Chrysolampis mosquitus,Chrysolampis_mosquitus
Chrysomus icterocephalus,Chrysomus_icterocephalus
Chrysomus ruficapillus,Chrysomus_ruficapillus
Chrysothlypis chrysomelas,Chrysothlypis_chrysomelas
Chrysothlypis salmoni,Chrysothlypis_salmoni
Chrysuronia brevirostris,Amazilia_brevirostris
