Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Tolmomyias sulphurescens mixtus		SUBSPECIES	x	x	x				" nordeste do Brasil, do leste do estado do Pará até o noroeste do estado do Maranhão"
Tolmomyias sulphurescens sulphurescens		SUBSPECIES	x						sudeste do Brasil até o leste do Paraguai e noroeste da Argentina
Tolmomyias sulphurescens pallescens		SUBSPECIES	x		x				"leste do Brasil, do estado de Minas Gerais até o norte da Bolívia"
Tolmomyias sulphurescens grisescens		SUBSPECIES	x			x			"Paraguai e norte da Argentina, nas regiões de Chaco"
Tolmomyias assimilis	Tolmomyias_assimilis	SPECIES	x		x				Marginal
Tolmomyias assimilis examinatus		SUBSPECIES	x		x				
Tolmomyias poliocephalus	Tolmomyias_poliocephalus	SPECIES	x		x				
Tolmomyias poliocephalus sclateri		SUBSPECIES	x		x				
Tolmomyias flaviventris	Tolmomyias_flaviventris	SPECIES	x	x	x				
Tolmomyias flaviventris flaviventris		SUBSPECIES	x	x	x				
Todirostrum maculatum	Todirostrum_maculatum	SPECIES	x		x				
Todirostrum maculatum maculatum		SUBSPECIES	x		x				
Todirostrum poliocephalum	Todirostrum_poliocephalum	SPECIES	x		x				
Todirostrum cinereum	Todirostrum_cinereum	SPECIES	x	x	x				
Todirostrum cinereum cearae		SUBSPECIES	x	x					
Todirostrum cinereum coloreum		SUBSPECIES	x		x				
Poecilotriccus fumifrons	Poecilotriccus_fumifrons	SPECIES	x	x	x				
Poecilotriccus fumifrons fumifrons		SUBSPECIES	x	x	x				
Poecilotriccus plumbeiceps	Poecilotriccus_plumbeiceps	SPECIES	x	x	x	X			"Marginal in Cerrado, there are populations in Chaco associated to gallery forest. This is a case for discussion."
Poecilotriccus plumbeiceps cinereipectus		SUBSPECIES	x	x	x				
Poecilotriccus latirostris	Poecilotriccus_latirostris	SPECIES	x		x				
Poecilotriccus latirostris ochropterus		SUBSPECIES	x		v				
Poecilotriccus sylvia	Poecilotriccus_sylvia	SPECIES	x		x				
Poecilotriccus sylvia schulzi		SUBSPECIES	x		x				
Myiornis ecaudatus	Myiornis_ecaudatus	SPECIES	x		x				Marginal
Myiornis ecaudatus ecaudatus		SUBSPECIES	x		x				
Hemitriccus minor	Hemitriccus_minor	SPECIES	x		x				Marginal
Hemitriccus minor snethlageae		SUBSPECIES	x		x				
Hemitriccus diops	Hemitriccus_diops	SPECIES	x	x					
Hemitriccus orbitatus	Hemitriccus_orbitatus	SPECIES	x		x			NT	Marginal
Hemitriccus striaticollis	Hemitriccus_striaticollis	SPECIES	x	x	x				
Hemitriccus striaticollis striaticollis		SUBSPECIES	x	x	x				
Hemitriccus margaritaceiventer	Hemitriccus_margaritaceiventer	SPECIES	x	x	x	x			
Hemitriccus margaritaceiventer wuchereri		SUBSPECIES	x	x	x				
Hemitriccus margaritaceiventer margaritaceiventer		SUBSPECIES	x		x	x			
Hemitriccus nidipendulus	Hemitriccus_nidipendulus	SPECIES	x	x	x				
Hemitriccus nidipendulus nidipendulus		SUBSPECIES	x	x	x				Marginal in Cerrado and present in Caatinga (Diamantina)
Hemitriccus mirandae	Hemitriccus_mirandae	SPECIES	x	x				VU	Brejo Caatinga
Hemitriccus minimus	Hemitriccus_minimus	SPECIES	x		x				
Lophotriccus galeatus	Lophotriccus_galeatus	SPECIES	x		x				
Hirundinea ferruginea	Hirundinea_ferruginea	SPECIES	x	x	x				
Hirundinea ferruginea bellicosa		SUBSPECIES	x	x	x				
Zimmerius acer	Zimmerius_acer	SPECIES	x	x	x				
Inezia inornata	Inezia_inornata	SPECIES	x		x	x			
Inezia subflava	Inezia_subflava	SPECIES	x		x				
Inezia subflava subflava		SUBSPECIES	x		x				
Stigmatura napensis	Stigmatura_napensis	SPECIES	x	x	x		CA/CE		
Stigmatura napensis bahiae		SUBSPECIES	x	x	x				
Stigmatura budytoides	Stigmatura_budytoides	SPECIES	x	x	x	x			
Stigmatura budytoides inzonata		SUBSPECIES	x			x			
Stigmatura budytoides gracilis		SUBSPECIES	x	x	x				
Anairetes flavirostris	Anairetes_flavirostris	SPECIES	x						These are not chacoan...instead are from Monte and Andean dry forest....
Anairetes flavirostris flavirostris		SUBSPECIES	x						
Anairetes parulus	Anairetes_parulus	SPECIES	x						These are not chacoan...instead are from Monte and Andean dry forest....
Anairetes parulus aequatorialis		SUBSPECIES	x						
Euscarthmus meloryphus	Euscarthmus_meloryphus	SPECIES	x	x	x	x			
Euscarthmus meloryphus meloryphus		SUBSPECIES	x	x	x	x			
Euscarthmus rufomarginatus	Euscarthmus_rufomarginatus	SPECIES	x	x	x			NT	
Tyranniscus burmeisteri	Phyllomyias_burmeisteri	SPECIES	x		x				
Ornithion inerme	Ornithion_inerme	SPECIES	x		x				
Camptostoma obsoletum	Camptostoma_obsoletum	SPECIES	x	x	x	x			
Camptostoma obsoletum bolivianum		SUBSPECIES	x			x			
Camptostoma obsoletum cinerascens		SUBSPECIES	x	x	x				
Elaenia flavogaster	Elaenia_flavogaster	SPECIES	x	x	x	x			
Elaenia flavogaster flavogaster		SUBSPECIES	x	x	x	x			
Elaenia spectabilis	Elaenia_spectabilis	SPECIES	x	x	x	x			
Elaenia chilensis	Elaenia_albiceps	SPECIES	x	x	x	x			"migrant!, the bird breeds in patagonian forest!"
Elaenia parvirostris	Elaenia_parvirostris	SPECIES	x		x	x			
Elaenia mesoleuca	Elaenia_mesoleuca	SPECIES	x	x	x				
Elaenia cristata	Elaenia_cristata	SPECIES	x	x	x				
Elaenia cristata cristata		SUBSPECIES	x	x	x				
Elaenia chiriquensis	Elaenia_chiriquensis	SPECIES	x	x	x	x			
Elaenia chiriquensis albivertex		SUBSPECIES	x	x	x	x			
Elaenia obscura	Elaenia_obscura	SPECIES	x	x	x				
Suiriri suiriri	Suiriri_suiriri	SPECIES	x	x	x	x			
Suiriri suiriri burmeisteri		SUBSPECIES	x	x	x				
Suiriri suiriri bahiae		SUBSPECIES	x	x					
Suiriri suiriri suiriri		SUBSPECIES	x		x	x			
Guyramemua affine	Suiriri_suiriri	SPECIES	x		x		CE	NT	
Myiopagis gaimardii	Myiopagis_gaimardii	SPECIES	x		x				
Myiopagis gaimardii gaimardii		SUBSPECIES	x		x				
Myiopagis caniceps	Myiopagis_caniceps	SPECIES	x	x	x				
Myiopagis caniceps caniceps		SUBSPECIES	x	x	x				
Myiopagis viridicata	Myiopagis_viridicata	SPECIES	x	x	x	x			
Myiopagis viridicata viridicata		SUBSPECIES	x	x	x	x			
Tyrannulus elatus	Tyrannulus_elatus	SPECIES	x		x				Marginal
Capsiempis flaveola	Capsiempis_flaveola	SPECIES	x	x	x				
Capsiempis flaveola flaveola		SUBSPECIES	x	x	x				
Phaeomyias murina	Phaeomyias_murina	SPECIES	x	x	x	x			
Phaeomyias murina murina		SUBSPECIES	x	x	x	x			
Phyllomyias fasciatus	Phyllomyias_fasciatus	SPECIES	x	x	x				
Phyllomyias fasciatus cearae		SUBSPECIES	x	x					
Phyllomyias fasciatus fasciatus		SUBSPECIES	x	x	x				
Phyllomyias fasciatus fasciatus		SUBSPECIES	x		x				
Phyllomyias reiseri	Phyllomyias_reiseri	SPECIES	x		x		Q_CE		
Culicivora caudacuta	Culicivora_caudacuta	SPECIES	x	x	x			VU	
Polystictus pectoralis	Polystictus_pectoralis	SPECIES	x		x	x		NT	
Polystictus pectoralis pectoralis		SUBSPECIES	x		x	x			
Polystictus superciliaris	Polystictus_superciliaris	SPECIES	x	x	x				
Pseudocolopteryx acutipennis	Pseudocolopteryx_acutipennis	SPECIES	x		x	x			
Pseudocolopteryx sclateri	Pseudocolopteryx_sclateri	SPECIES	x		x	x			
Pseudocolopteryx dinelliana	Pseudocolopteryx_dinelliana	SPECIES	x			x	CH	NT	
Serpophaga subcristata	Serpophaga_subcristata	SPECIES	x	x	x	x			
Serpophaga subcristata subcristata		SUBSPECIES	x	x	x	x			
Serpophaga nigricans	Serpophaga_nigricans	SPECIES	x		x	x			bird associated to water!
Attila phoenicurus	Attila_phoenicurus	SPECIES	x		x	X			in Chaco in migration
Attila cinnamomeus	Attila_cinnamomeus	SPECIES	x		x				
Attila bolivianus	Attila_bolivianus	SPECIES	x		x				
Attila bolivianus bolivianus		SUBSPECIES	x		x				
Attila spadiceus	Attila_spadiceus	SPECIES	x	x	x				
Attila spadiceus spadiceus		SUBSPECIES	x	x	x				
Legatus leucophaius	Legatus_leucophaius	SPECIES	x	x	x	x			
Legatus leucophaius leucophaius		SUBSPECIES	x	x	x	x			
Ramphotrigon megacephalum	Ramphotrigon_megacephalum	SPECIES	x		x				Marginal
Ramphotrigon megacephalum bolivianum		SUBSPECIES	x		x				
Ramphotrigon ruficauda	Ramphotrigon_ruficauda	SPECIES	x		x				
Ramphotrigon fuscicauda	Ramphotrigon_fuscicauda	SPECIES	x		x				Marginal
Myiarchus tuberculifer	Myiarchus_tuberculifer	SPECIES	x	x	x				
Myiarchus tuberculifer tuberculifer		SUBSPECIES	x	x	x				
Myiarchus swainsoni	Myiarchus_swainsoni	SPECIES	x	x	x	x			
Myiarchus swainsoni pelzelni 		SUBSPECIES	x	x	x				
Myiarchus swainsoni swainsoni		SUBSPECIES	x		x	x			
Myiarchus ferox	Myiarchus_ferox	SPECIES	x	x	x	x			
Myiarchus ferox australis		SUBSPECIES	x	x	x	x			
Myiarchus tyrannulus	Myiarchus_tyrannulus	SPECIES	x	x	x	x			
Myiarchus tyrannulus tyrannulus 		SUBSPECIES	x		x	x			
Myiarchus tyrannulus tyrannulus 		SUBSPECIES	x	x	x				
Sirystes sibilator	Sirystes_sibilator	SPECIES	x	x	x				
Sirystes sibilator sibilator		SUBSPECIES	x	x	x				
Sirystes sibilator atimastus		SUBSPECIES	x		x				"Chapada, in Mato Grosso (Brazil)."
Rhytipterna simplex	Rhytipterna_simplex	SPECIES	x		x				Marginal 
Rhytipterna simplex frederici		SUBSPECIES	x		x				
Rhytipterna immunda	Rhytipterna_immunda	SPECIES	x		x				marginal with one pint em cerrado
Casiornis rufus	Casiornis_rufus	SPECIES	x		x	x			
Casiornis fuscus	Casiornis_fuscus	SPECIES	x	x	x				
Pitangus sulphuratus	Pitangus_sulphuratus	SPECIES	x	x	x	x			
Philohydor lictor	Pitangus_lictor	SPECIES	x	x	x				
Philohydor lictor lictor		SUBSPECIES	x	x	x				
Machetornis rixosa	Machetornis_rixosa	SPECIES	x	x	x	x			
Machetornis rixosa rixosa		SUBSPECIES	x	x	x	x			
Myiodynastes maculatus	Myiodynastes_maculatus	SPECIES	x	x	x	x			
Myiodynastes maculatus solitarius		SUBSPECIES	x	x	x	x			
Tyrannopsis sulphurea	Tyrannopsis_sulphurea	SPECIES	x		x				
Megarynchus pitangua	Megarynchus_pitangua	SPECIES	x	x	x	x			
Megarynchus pitangua pitangua		SUBSPECIES	x	x	x	x			
Myiozetetes cayanensis	Myiozetetes_cayanensis	SPECIES	x	x	x				
Myiozetetes cayanensis cayanensis		SUBSPECIES	x	x	x				
Myiozetetes similis	Myiozetetes_similis	SPECIES	x	x	x				
Myiozetetes similis pallidiventris		SUBSPECIES	x	x	x				
Tyrannus albogularis	Tyrannus_albogularis	SPECIES	x	x	x				
Tyrannus melancholicus	Tyrannus_melancholicus	SPECIES	x	x	x	x			
Tyrannus melancholicus despotes		SUBSPECIES	x	x	x				
Tyrannus melancholicus melancholicus		SUBSPECIES	x		x	x			
Tyrannus savana	Tyrannus_savana	SPECIES	x	x	x	x			
Tyrannus savana savana		SUBSPECIES	x	x	x	x			
Tyrannus tyrannus	Tyrannus_tyrannus	SPECIES	x		x	x			
Griseotyrannus aurantioatrocristatus	Empidonomus_aurantioatrocristatus	SPECIES	x	x	x	x			
Griseotyrannus aurantioatrocristatus pallidiventris 		SUBSPECIES	x	x	x				
Griseotyrannus aurantioatrocristatus aurantioatrocristatus		SUBSPECIES	x		x	x			
Empidonomus varius	Empidonomus_varius	SPECIES	x	x	x	x			
Empidonomus varius rufinus		SUBSPECIES	x	x					
Empidonomus varius varius		SUBSPECIES	x		x	x			
Colonia colonus	Colonia_colonus	SPECIES	x	x	x				
Colonia colonus colonus		SUBSPECIES	x	x	x				
Myiophobus fasciatus	Myiophobus_fasciatus	SPECIES	x	x	x	x			
Myiophobus fasciatus flammiceps		SUBSPECIES	x	x	x				
Myiophobus fasciatus auriceps		SUBSPECIES	x			x			
Sublegatus modestus	Sublegatus_modestus	SPECIES	x	x	x	x			
Sublegatus modestus modestus		SUBSPECIES	x	x	x				
Sublegatus modestus brevirostris		SUBSPECIES	x			x			
Pyrocephalus rubinus	Pyrocephalus_rubinus	SPECIES	x	x	x	x			
Pyrocephalus rubinus rubinus		SUBSPECIES	x	x	x	x			
Fluvicola albiventer	Fluvicola_albiventer	SPECIES	x	x	x	x			
Fluvicola nengeta	Fluvicola_nengeta	SPECIES	x	x	x				
Fluvicola nengeta nengeta		SUBSPECIES	x	x	x				
Arundinicola leucocephala	Arundinicola_leucocephala	SPECIES	x	x	x	x			
Gubernetes yetapa	Gubernetes_yetapa	SPECIES	x		x	X			Both in wet Chaco
Alectrurus tricolor	Alectrurus_tricolor	SPECIES	x		x	X		VU	
Cnemotriccus fuscatus	Cnemotriccus_fuscatus	SPECIES	x	x	x	x			
Cnemotriccus fuscatus fuscatus		SUBSPECIES	x	x	x				
Cnemotriccus fuscatus fuscatior		SUBSPECIES	x		x				
Cnemotriccus fuscatus bimaculatus		SUBSPECIES	x			x			
Lathrotriccus euleri	Lathrotriccus_euleri	SPECIES	x	x	x	x			
Lathrotriccus euleri euleri		SUBSPECIES	x	x					
Lathrotriccus euleri argentinus		SUBSPECIES	x			x			
Contopus cooperi	Contopus_cooperi	SPECIES	x		x				
Contopus cinereus	Contopus_cinereus	SPECIES	x	x	x	X			in migration
Contopus cinereus pallescens		SUBSPECIES	x	x	x				
Knipolegus hudsoni	Knipolegus_hudsoni	SPECIES	x		x	x			
Knipolegus poecilocercus	Knipolegus_poecilocercus	SPECIES	x		x				
Knipolegus orenocensis	Knipolegus_orenocensis	SPECIES	x		x				
Knipolegus orenocensis sclateri		SUBSPECIES	x		x				
Knipolegus cyanirostris	Knipolegus_cyanirostris	SPECIES	x		x				Marginal
Knipolegus franciscanus	Knipolegus_franciscanus	SPECIES	x		x		CE		
Knipolegus nigerrimus	Knipolegus_nigerrimus	SPECIES	x	x	x				
Knipolegus lophotes	Knipolegus_lophotes	SPECIES	x	x	x				
K hudsoni			x		X				in migration
Knipolegus striaticeps	Knipolegus_striaticeps	SPECIES	x			x	CH		
Knipolegus aterrimus	Knipolegus_aterrimus	SPECIES	x			x			
Knipolegus aterrimus aterrimus		SUBSPECIES	x			x			
Hymenops perspicillatus	Hymenops_perspicillatus	SPECIES	x		x	x			
Hymenops perspicillatus perspicillatus		SUBSPECIES	x		x	x			
Satrapa icterophrys	Satrapa_icterophrys	SPECIES	x	x	x	x			
Nengetus cinereus	Xolmis_cinereus	SPECIES	x	x	x	x			
Nengetus cinereus cinereus		SUBSPECIES	x	x					
Empidonax alnorum			x			X			wintering in the Chaco
Nengetus cinereus pepoaza		SUBSPECIES	x		x	x			
Xolmis velatus	Xolmis_velatus	SPECIES	x	x	x				
Xolmis irupero	Xolmis_irupero	SPECIES	x	x	x	x			
Xolmis irupero niveus		SUBSPECIES	x	x	x				
Xolmis irupero niveus		SUBSPECIES	x		x	x			
Agriornis micropterus	Agriornis_micropterus	SPECIES	x			x			
Agriornis micropterus micropterus		SUBSPECIES	x			x			
Agriornis murinus	Agriornis_murinus	SPECIES	x			x			
Cyclarhis gujanensis	Cyclarhis_gujanensis	SPECIES	x	x	x	x			
Cyclarhis gujanensis cearensis		SUBSPECIES	x	x	x				
Cyclarhis gujanensis viridis		SUBSPECIES	x			x			
Hylophilus pectoralis	Hylophilus_pectoralis	SPECIES	x		x				
Hylophilus amaurocephalus	Hylophilus_amaurocephalus	SPECIES	x	x	x				
Hylophilus semicinereus	Hylophilus_semicinereus	SPECIES	x		x				Marginal
Hylophilus semicinereus semicinereus		SUBSPECIES	x		x				
Vireo olivaceus	Vireo_olivaceus	SPECIES	x		x				
Vireo chivi	Vireo_olivaceus	SPECIES	x	x	x	x			
Vireo chivi diversus		SUBSPECIES	x	x	x	x			Analisar
Cyanocorax cyanomelas	Cyanocorax_cyanomelas	SPECIES	x		x	X			associted to wet Chaco
Cyanocorax cristatellus	Cyanocorax_cristatellus	SPECIES	x	x	x				
Cyanocorax chrysops	Cyanocorax_chrysops	SPECIES	x		x	x			
Cyanocorax chrysops chrysops		SUBSPECIES	x		x	x			
Cyanocorax cyanopogon	Cyanocorax_cyanopogon	SPECIES	x	x	x				
Pygochelidon cyanoleuca	Pygochelidon_cyanoleuca	SPECIES	x	x	x	x			
Pygochelidon cyanoleuca cyanoleuca		SUBSPECIES	x	x	x	x			
Pygochelidon melanoleuca	Atticora_melanoleuca	SPECIES	x		x				
Alopochelidon fucata	Alopochelidon_fucata	SPECIES	x		x	x			
Atticora fasciata	Atticora_fasciata	SPECIES	x		x				Marginal
Stelgidopteryx ruficollis	Stelgidopteryx_ruficollis	SPECIES	x	x	x	x			
Stelgidopteryx ruficollis ruficollis		SUBSPECIES	x	x	x	x			
Riparia riparia	Riparia_riparia	SPECIES	x	x	x	x			
Riparia riparia riparia		SUBSPECIES	x	x	x	x			Subespécie das americas. 
Progne tapera	Progne_tapera	SPECIES	x	x	x	x			
Progne tapera fusca		SUBSPECIES	x	x	x	x			
Progne elegans			x			X			"west Chaco, marginal"
Progne subis	Progne_subis	SPECIES	x	x	x				Todas subespécies migram para America do Sul
Progne chalybea	Progne_chalybea	SPECIES	x	x	x	x			
Progne chalybea chalybea		SUBSPECIES	x	x	x	x			
Tachycineta albiventer	Tachycineta_albiventer	SPECIES	x	x	x				
Tachycineta leucorrhoa	Tachycineta_leucorrhoa	SPECIES	x	x	x	x			
Hirundo rustica	Hirundo_rustica	SPECIES	x	x	x	x			Well...it does not breed in the Chaco so far.
Hirundo rustica erythrogaster		SUBSPECIES	x	x	x	x			
Petrochelidon pyrrhonota	Petrochelidon_pyrrhonota	SPECIES	x		x	x			Todas as subespécies migram pra america do sul
Troglodytes musculus	Troglodytes_aedon	SPECIES	x	x	x	x			
Troglodytes musculus clarus 		SUBSPECIES	x	x	x				
Troglodytes musculus bonariae		SUBSPECIES	x			x			
Cistothorus platensis	Cistothorus_platensis	SPECIES	x		x	x			
Cistothorus platensis polyglottus		SUBSPECIES	x		x	x			
Campylorhynchus turdinus	Campylorhynchus_turdinus	SPECIES	x		x	x			
Campylorhynchus turdinus hypostictus		SUBSPECIES	x		x				
Campylorhynchus turdinus hypostictus		SUBSPECIES	x		x	x			
Pheugopedius genibarbis	Thryothorus_genibarbis	SPECIES	x	x	x				
Pheugopedius genibarbis genibarbis		SUBSPECIES	x	x					
Pheugopedius genibarbis genibarbis		SUBSPECIES	x		x				
Cantorchilus leucotis	Thryothorus_leucotis	SPECIES	x		x				
Cantorchilus leucotis albipectus		SUBSPECIES	x		x				
Cantorchilus leucotis rufiventris		SUBSPECIES	x		x				
Cantorchilus guarayanus	Thryothorus_guarayanus	SPECIES	x			x			marginal in Chaco
Donacobius atricapilla	Donacobius_atricapilla	SPECIES	x	x	x	x			only wet Chaco.....
Donacobius atricapilla atricapilla		SUBSPECIES	x	x	x	x			
Ramphocaenus melanurus	Ramphocaenus_melanurus	SPECIES	x	x	x				
Ramphocaenus melanurus melanurus		SUBSPECIES	x	x					Chapada diamentina 
Ramphocaenus melanurus austerus		SUBSPECIES	x		x				"Subspecies austerus is found in northeastern Brazil, south of the Amazon and east of the Rio Tocantins in eastern Pará and northern Maranhão."
Polioptila plumbea	Polioptila_plumbea	SPECIES	x	x	x				
Polioptila plumbea atricapilla		SUBSPECIES	x	x	x				
Polioptila dumicola	Polioptila_dumicola	SPECIES	x		x	x			
Polioptila dumicola berlepschi		SUBSPECIES	x		x				
Polioptila dumicola dumicola		SUBSPECIES	x			x			
Catharus fuscescens	Catharus_fuscescens	SPECIES	x	x	x				Quais das suespécies migram pro brasil? 
Turdus leucomelas	Turdus_leucomelas	SPECIES	x	x	x	x			
Turdus leucomelas albiventer		SUBSPECIES	x	x	x				
Turdus leucomelas leucomelas		SUBSPECIES	x		x	x			
Turdus fumigatus	Turdus_fumigatus	SPECIES	x		x				
Turdus fumigatus fumigatus		SUBSPECIES	x		x				
Turdus hauxwelli	Turdus_hauxwelli	SPECIES	x		x				
Turdus rufiventris	Turdus_rufiventris	SPECIES	x	x	x	x			
Turdus rufiventris juensis		SUBSPECIES	x	x					
Turdus rufiventris rufiventris		SUBSPECIES	x		x	x			
Turdus nudigenis	Turdus_nudigenis	SPECIES	x		x				
Turdus nudigenis nudigenis		SUBSPECIES	x		x				
Turdus amaurochalinus	Turdus_amaurochalinus	SPECIES	x	x	x	x			
Turdus subalaris	Turdus_subalaris	SPECIES	x		x				
Turdus ignobilis	Turdus_ignobilis	SPECIES	x		x				Marginal
Turdus albicollis	Turdus_albicollis	SPECIES	x	x	x				
Turdus albicollis crotopezus		SUBSPECIES	x	x					
Turdus albicollis paraguayensis		SUBSPECIES	x		x				
Mimus saturninus	Mimus_saturninus	SPECIES	x	x	x	x			
Mimus saturninus frater 		SUBSPECIES	x	x	x				
Mimus saturninus modulator		SUBSPECIES	x			x			
Mimus triurus	Mimus_triurus	SPECIES	x		x	x			
Mimus gilvus	Mimus_gilvus	SPECIES	x	x					Costeira
Mimus gilvus antelius		SUBSPECIES	x						
Anthus lutescens	Anthus_lutescens	SPECIES	x	x	x				
Anthus lutescens lutescens		SUBSPECIES	x						
Anthus nattereri	Anthus_nattereri	SPECIES	x		x				
Anthus hellmayri	Anthus_hellmayri	SPECIES	x		x				
Anthus hellmayri brasilianus		SUBSPECIES	x						
Anthus chacoensis	Anthus_chacoensis	SPECIES	x			x	CH		
Anthus correndera	Anthus_correndera	SPECIES	x			x			
Anthus correndera catamarcae		SUBSPECIES	x			x			
Anthus furcatus	Anthus_furcatus	SPECIES	x			x			
Anthus furcatus brevirostrisx		SUBSPECIES	x						
Zonotrichia capensis	Zonotrichia_capensis	SPECIES	x	x	x	x			
Zonotrichia capensis matutina		SUBSPECIES	x	x	x				NE and C Brazil (from Maranhão S to N and C Mato Grosso and Bahia) and adjacent E Bolivia (Santa Cruz)
Zonotrichia capensis tocantinsi		SUBSPECIES	x		x				"lower Amazonia (along R Tocantins and probably along lower Amazon E from Monte Alegre), Brazil."
Zonotrichia capensis subtorquata		SUBSPECIES	x			x			
Ammodramus humeralis	Ammodramus_humeralis	SPECIES	x	x	x	X			it  is in Chaco
Ammodramus humeralis humeralis		SUBSPECIES	x	x	x				
Ammodramus aurifrons	Ammodramus_aurifrons	SPECIES	x		x				
Ammodramus aurifrons aurifrons		SUBSPECIES	x		x				
Arremon taciturnus	Arremon_taciturnus	SPECIES	x	x	x				
Arremon taciturnus taciturnus		SUBSPECIES	x	x	x				
Arremon flavirostris	Arremon_flavirostris	SPECIES	x		x	X			"There are populations in gallery forest within Chaco,another case for evaluation."
Arremon franciscanus	Arremon_franciscanus	SPECIES	x	x	x		CA/CE	NT	
Rhynchospiza strigiceps	Aimophila_strigiceps	SPECIES	x			x	CH		
Setophaga pitiayumi	Parula_pitiayumi	SPECIES	x	x	x	x			
Setophaga pitiayumi pitiayumi		SUBSPECIES	x	x	x	x			
Setophaga striata	Dendroica_striata	SPECIES	x		x				
Geothlypis aequinoctialis	Geothlypis_aequinoctialis	SPECIES	x	x	x	x			
Geothlypis aequinoctialis velata		SUBSPECIES	x	x	x	x			
Basileuterus culicivorus	Basileuterus_culicivorus	SPECIES	x	x	x	x			
Basileuterus culicivorus auricapilla		SUBSPECIES	x	x	x				
Basileuterus culicivorus azarae		SUBSPECIES	x		x	x			
Myiothlypis flaveola	Basileuterus_flaveolus	SPECIES	x	x	x	x			
Myiothlypis flaveola flaveola		SUBSPECIES	x	x	x	x			
Myiothlypis leucoblephara	Basileuterus_leucoblepharus	SPECIES	x		x				Marginal
Myiothlypis leucophrys	Basileuterus_leucophrys	SPECIES	x		x		CE		
Psarocolius decumanus	Psarocolius_decumanus	SPECIES	x	x	x	x			
Psarocolius decumanus decumanus		SUBSPECIES	x	x	x				
Psarocolius decumanus maculosus		SUBSPECIES	x			x			
Procacicus solitarius	Cacicus_solitarius	SPECIES	x	x	x	x			
Cacicus chrysopterus	Cacicus_chrysopterus	SPECIES	x		x	x			
Cacicus haemorrhous	Cacicus_haemorrhous	SPECIES	x	x	x				
Cacicus haemorrhous affinis		SUBSPECIES	x	x	x				
Cacicus cela	Cacicus_cela	SPECIES	x	x	x				
Cacicus cela cela		SUBSPECIES	x	x	x				
Icterus cayanensis	Icterus_cayanensis	SPECIES	x		x	x			
Icterus pyrrhopterus	Icterus_cayanensis	SPECIES	x	x	x	x			
Icterus pyrrhopterus tibialis		SUBSPECIES	x	x					
Icterus pyrrhopterus pyrrhopterus		SUBSPECIES	x		x	x			
Icterus pyrrhopterus valenciobuenoi		SUBSPECIES	x		x				
Icterus croconotus	Icterus_croconotus	SPECIES	x		x	x			
Icterus croconotus strictifrons		SUBSPECIES	x		x	x			
Icterus jamacaii	Icterus_jamacaii	SPECIES	x	x	x				
Gnorimopsar chopi	Gnorimopsar_chopi	SPECIES	x	x	x	x			
Gnorimopsar chopi chopi		SUBSPECIES	x	x	x	x			
Amblyramphus holosericeus	Amblyramphus_holosericeus	SPECIES	x		x	x			Only in wet Chaco....
Agelasticus cyanopus	Agelasticus_cyanopus	SPECIES	x	x	x	x			
Agelasticus cyanopus unicolor		SUBSPECIES	x	x	x				
Agelasticus cyanopus cyanopus		SUBSPECIES	x			x			
Agelasticus thilius	Agelasticus_thilius	SPECIES	x			x			Only in marshes!!!
Agelasticus thilius petersii		SUBSPECIES	x			x			
Chrysomus ruficapillus	Chrysomus_ruficapillus	SPECIES	x	x	x	x			
Chrysomus ruficapillus frontalis		SUBSPECIES	x	x	x				
Chrysomus ruficapillus ruficapillus		SUBSPECIES	x		x	x			
Pseudoleistes guirahuro	Pseudoleistes_guirahuro	SPECIES	x		x	X			in wet Chaco
Agelaioides badius	Agelaioides_badius	SPECIES	x		x	x			
Agelaioides badius badius		SUBSPECIES	x		x	x			
Agelaioides fringillarius	Agelaioides_badius	SPECIES	x	x	x		Q_CA		
Molothrus rufoaxillaris	Molothrus_rufoaxillaris	SPECIES	x	x	x	x			
Molothrus oryzivorus	Molothrus_oryzivorus	SPECIES	x	x	x				
Molothrus oryzivorus oryzivorus		SUBSPECIES	x	x	x				
Molothrus bonariensis	Molothrus_bonariensis	SPECIES	x	x	x	x			
Molothrus bonariensis bonariensis		SUBSPECIES	x	x	x	x			
Leistes militaris	Sturnella_militaris	SPECIES	x		x				Marginal
Leistes superciliaris	Sturnella_superciliaris	SPECIES	x	x	x	x			
Dolichonyx oryzivorus	Dolichonyx_oryzivorus	SPECIES	x		x	x			
Porphyrospiza caerulescens	Porphyrospiza_caerulescens	SPECIES	x	x	x			NT	
Pipraeidea melanonota	Pipraeidea_melanonota	SPECIES	x	x	x				
Pipraeidea melanonota melanonota		SUBSPECIES	x	x	x				
Neothraupis fasciata	Neothraupis_fasciata	SPECIES	x	x	x		CE	NT	
Cissopis leverianus	Cissopis_leverianus	SPECIES	x		x				
Cissopis leverianus major		SUBSPECIES	x		x				
Schistochlamys melanopis	Schistochlamys_melanopis	SPECIES	x	x	x				
Schistochlamys melanopis amazonica		SUBSPECIES	x	x	x				
Schistochlamys melanopis olivina		SUBSPECIES	x		x				
Schistochlamys ruficapillus	Schistochlamys_ruficapillus	SPECIES	x	x	x				
Diuca diuca	Diuca_diuca	SPECIES	x			x			
Diuca diuca minor		SUBSPECIES	x			x			
