Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Laterallus exilis	Laterallus_exilis	SPECIES	x	x	x				
Laterallus xenopterus	Laterallus_xenopterus	SPECIES	x		x		CE	VU	
Hapalocrex flaviventer	Porzana_flaviventer	SPECIES	x	x	x	x			
Hapalocrex flaviventer flaviventer		SUBSPECIES	x	x	x	x			
Mustelirallus albicollis	Porzana_albicollis	SPECIES	x	x	x	x			
Mustelirallus albicollis albicollis		SUBSPECIES	x	x	x	x			
Mustelirallus erythrops	Neocrex_erythrops	SPECIES	x	x	x	x			
Mustelirallus erythrops olivascens 		SUBSPECIES	x	x	x	x			
Pardirallus nigricans	Pardirallus_nigricans	SPECIES	x	x	x				
Pardirallus nigricans nigricans		SUBSPECIES	x	x	x				
Pardirallus sanguinolentus	Pardirallus_sanguinolentus	SPECIES	x		x	x			Marginal in Cerrado
Pardirallus sanguinolentus zelebori		SUBSPECIES	x		x				
Pardirallus sanguinolentus sanguinolentus		SUBSPECIES	x			x			
Pardirallus maculatus	Pardirallus_maculatus	SPECIES	x	x	x	x			
Pardirallus maculatus maculatus		SUBSPECIES	x	x	x	x			
Gallinula galeata	Gallinula_chloropus	SPECIES	x	x	x	x			
Gallinula galeata galeata		SUBSPECIES	x	x	x	x			
Fulica armillata	Fulica_armillata	SPECIES	x			x			
Fulica leucoptera	Fulica_leucoptera	SPECIES	x			x			
Fulica rufifrons	Fulica_rufifrons	SPECIES	x			x			
Porphyrio martinica	Porphyrio_martinica	SPECIES	x	x	x	x			
Porphyrio flavirostris	Porphyrio_flavirostris	SPECIES	x		x	x			
Porphyriops melanops	Gallinula_melanops	SPECIES	x	x	x	x			
Porphyriops melanops melanops		SUBSPECIES	x	x	x	x			
Heliornis fulica	Heliornis_fulica	SPECIES	x		x	x			
Vanellus cayanus	Vanellus_cayanus	SPECIES	x	x	x	x			
Vanellus chilensis	Vanellus_chilensis	SPECIES	x	x	x	x			
Vanellus chilensis lampronotus		SUBSPECIES	x	x	x	x			
Pluvialis squatarola	Pluvialis_squatarola	SPECIES	x						Coastal and Migrant
Pluvialis dominica	Pluvialis_dominica	SPECIES	x	x	x	x			Migrant
Charadrius semipalmatus	Charadrius_semipalmatus	SPECIES	x	x	x				Migrant
Charadrius wilsonia	Charadrius_wilsonia	SPECIES	x		x	x			Coastal and Migrant
Charadrius wilsonia crassirostris		SUBSPECIES	x		x	x			
